Timestamp,User,Action,Record Type Name,Record Type URL Stub,Record Identifier,View,Filters,Environment,Site URL Stub
12 Dec 2017 12:45:46 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,659,summary,N/A,Site,incident-detail
12 Dec 2017 12:45:46 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,659,summary,N/A,Site,incident-detail
12 Dec 2017 12:45:46 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,659,summary,N/A,Site,incident-detail
12 Dec 2017 12:46:10 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:46:19 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,628,summary,N/A,Site,incident-detail
12 Dec 2017 12:56:45 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:58:20 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:58:34 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:58:52 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:59:05 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:59:15 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:59:25 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:59:34 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 12:59:47 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 12:59:57 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:00:25 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:00:33 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:01:00 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:04:25 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:05:39 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:05:51 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:09:59 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:10:07 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:12:42 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:12:56 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:15:17 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record Dashboard,Incident,B_qSSQ,662,summary,N/A,Site,incident-detail
12 Dec 2017 13:15:18 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:15:21 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:15:24 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:15:31 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record Dashboard,Incident,B_qSSQ,663,summary,N/A,Site,incident-detail
12 Dec 2017 13:19:07 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:19:21 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:19:29 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Record Dashboard,Incident,B_qSSQ,663,summary,N/A,Site,incident-detail
12 Dec 2017 13:21:11 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:21:18 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Incident,B_qSSQ,663,summary,N/A,Site,incident-detail
12 Dec 2017 13:34:28 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record List,Project,oTYUaQ,N/A,N/A,N/A,Site,incident-detail
12 Dec 2017 13:34:32 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_48,View Record Dashboard,Project,oTYUaQ,5,summary,N/A,Site,incident-detail
