Timestamp,User,Action,Site,Page
25 Dec 2017 07:14:08 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Record View,incident-detail,project
25 Dec 2017 07:14:12 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Related Actions List,incident-detail,project
25 Dec 2017 07:14:30 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,Submit Process Task Form,incident-detail,project
25 Dec 2017 07:14:30 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Process Task Form,incident-detail,project
25 Dec 2017 07:14:41 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,Submit Process Task Form,incident-detail,project
25 Dec 2017 07:14:42 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Record View,incident-detail,project
25 Dec 2017 07:14:47 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_70,View Site Record List,incident-detail,project
25 Dec 2017 07:15:28 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record List,incident-detail,project
25 Dec 2017 07:15:35 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Record View,incident-detail,project
25 Dec 2017 07:15:40 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Related Actions List,incident-detail,project
25 Dec 2017 07:15:42 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Related Actions List,incident-detail,project
25 Dec 2017 07:16:03 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Process Task Form,incident-detail,project
25 Dec 2017 07:16:03 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Process Task Form,incident-detail,project
25 Dec 2017 07:16:12 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Process Task Form,incident-detail,project
25 Dec 2017 07:16:14 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Related Actions List,incident-detail,project
25 Dec 2017 07:16:20 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Related Actions List,incident-detail,project
25 Dec 2017 07:16:29 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Process Task Form,incident-detail,project
25 Dec 2017 07:16:30 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Process Task Form,incident-detail,project
25 Dec 2017 07:16:40 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,Submit Process Task Form,incident-detail,project
25 Dec 2017 07:16:41 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_6,View Site Related Actions List,incident-detail,project
25 Dec 2017 07:17:38 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Site Report,incident-detail,my-task-report
25 Dec 2017 07:17:48 GMT,_h-0000dfe3-cd2d-8000-9aee-01075c01075c_36,View Site Report,incident-detail,my-task-report
25 Dec 2017 07:18:16 GMT,_h-0000dfdb-c766-8000-9aee-01075c01075c_31,View Site Record List,incident-detail,incident
